Q_TotalDuration,Sc1_text1,Sc1_Quiz1,Sc1_Quiz2,Sc1_Quiz3,Sc1_text2,Sc1_regret,sc1_text3,sc1_socnorms2,sc1_socnorms1,sc1_text4,sc1_combinednorms,Q53,Sc2_text,Sc2_quiz1,Sc2_quiz2,Sc2_quiz3,Sc2_text2,Sc2_regret,Sc2_text3,Sc2_random_1,Sc2_random_2,Sc2_lucky,Q54,Sc3_C1_text,Sc3_C1_quiz1,Sc3_C1_quiz2,Sc3_C1_quiz3,sc3_c1_text2,sc3_c1_compensation,sc3_c1_text3,sc3_c1_regret,Sc3_C2_text,Sc3_C2_quiz1,Sc3_C2_quiz2,Sc3_C2_quiz3,sc3_c2_text2,sc3_c2_compensation,sc3_c2_text3,sc3_c2_regret,Sc3_C3_text,Sc3_C3_quiz1,Sc3_C3_quiz2,Sc3_C3_quiz3,sc3_c3_text2,sc3_c3_compensation,sc3_c3_text3,sc3_c3_regret,age,gender,serious,engunder
159,1,1,2,4,1,2,1,1,2,1,1,1,1,1,2,4,1,2,1,56,56,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,3,25,2,5,7
170,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,56,56,2,1, , , , , , , , ,1,1,2,1,1,6,1,3, , , , , , , , ,34,1,5,7
348,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,6,1,2, , , , , , , , ,44,2,5,7
429,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,56,56,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,3,56,2,5,7
355,1,1,2,4,1,1,1,1,2,1,2,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,58,1,5,7
365,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,42,1,5,7
232,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,28,2,5,7
233,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,31,2,5,7
196,1,1,2,4,1,2,1,1,1,1,1,1,1,1,2,4,1,2,1,4,4,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,27,1,5,7
326,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,56,56,1,1, , , , , , , , ,1,1,2,1,1,11,1,3, , , , , , , , ,40,1,5,7
